"","study_id","es_id","yi","vi","ni","author","transfer","test","allocation","comparison","baseline","age_group","mean_age_exp","mean_age_control","pop"
"1",4,1,-0.339209880903262,0.0734048837595708,54,"Aasvik et al. (2017)","Near","Spatial Working Memory","Random","Non-Active",0.0323057029431677,"adult","46.2","40.799999999999997","vocational rehabilitation seekers"
"2",4,2,0.296980898741885,0.0731561273791554,54,"Aasvik et al. (2017)","Far","Stop Signal Reaction Time","Random","Non-Active",-0.201180608825148,"adult","46.2","40.799999999999997","vocational rehabilitation seekers"
"3",38,3,0.353082464859866,0.098594665609323,40,"Akerlund et al. (2013)","Near","WAIS-III NI (working memory scaled scores)","Random","Non-Active",-0.488430743056149,"adult","47.7","47.7","Impaired WM adults - brain injury"
"4",38,4,0.464287015272598,0.104009455962835,38,"Akerlund et al. (2013)","Near","WAIS-III NI (working memory scaled scores)","Random","Non-Active",-0.489343774826992,"adult","47.7","47.7","Impaired WM adults - brain injury"
"5",38,5,0.363575041402178,0.0986886604060614,40,"Akerlund et al. (2013)","Far","BNIS total score","Random","Non-Active",-0.527508430605838,"adult","47.7","47.7","Impaired WM adults - brain injury"
"6",38,6,0.5985190740716,0.10588659608753,38,"Akerlund et al. (2013)","Far","BNIS total score","Random","Non-Active",-0.534392030421071,"adult","47.7","47.7","Impaired WM adults - brain injury"
"7",1,7,0.185883801729154,0.073818930664708,53,"Ang et al. (2015)_S1","Near","Animal Updating Task","Non-random","Active",-0.28994315485026,"children","81.73 months","81.73 months","children with poor WM"
"8",1,8,0.365541830194654,0.0747535348333568,53,"Ang et al. (2015)_S1","Near","Animal Updating Task","Non-random","Active",-0.28994315485026,"children","81.73 months","81.73 months","children with poor WM"
"9",1,9,-0.0933894574606788,0.0735752401271563,53,"Ang et al. (2015)_S1","Near","Letter Rotation Task","Non-random","Active",0.116982583556008,"children","81.73 months","81.73 months","children with poor WM"
"10",1,10,-0.290981888509062,0.0742917388882459,53,"Ang et al. (2015)_S1","Near","Letter Rotation Task","Non-random","Active",0.116982583556008,"children","81.73 months","81.73 months","children with poor WM"
"11",1,11,1.39070210061466,0.091738737692149,53,"Ang et al. (2015)_S1","Near","Block Recall task","Non-random","Active",0.0299075720562295,"children","81.73 months","81.73 months","children with poor WM"
"12",1,12,0.473536557556963,0.075608403151478,53,"Ang et al. (2015)_S1","Near","Block Recall task","Non-random","Active",0.0299075720562295,"children","81.73 months","81.73 months","children with poor WM"
"13",1,13,0.66405827169531,0.077653087272837,53,"Ang et al. (2015)_S1","Near","Backward Letter Recall task","Non-random","Active",-0.225451882365692,"children","81.73 months","81.73 months","children with poor WM"
"14",1,14,0.705049523034528,0.0781825348362734,53,"Ang et al. (2015)_S1","Near","Backward Letter Recall task","Non-random","Active",-0.225451882365692,"children","81.73 months","81.73 months","children with poor WM"
"15",1,15,-0.28845022908941,0.0742778999752405,53,"Ang et al. (2015)_S1","Far","Numerical Operation task","Non-random","Active",0.318586820188304,"children","81.73 months","81.73 months","children with poor WM"
"16",1,16,0.107630682496049,0.0736022474200786,53,"Ang et al. (2015)_S1","Far","Numerical Operation task","Non-random","Active",0.318586820188304,"children","81.73 months","81.73 months","children with poor WM"
"17",1,17,0,0.0734929609689978,53,"Ang et al. (2015)_S1","Far","Additional Fluency Task","Non-random","Active",0.333466666660091,"children","81.73 months","81.73 months","children with poor WM"
"18",1,18,-0.0743269076290563,0.0735450787916176,53,"Ang et al. (2015)_S1","Far","Additional Fluency Task","Non-random","Active",0.333466666660091,"children","81.73 months","81.73 months","children with poor WM"
"19",1,19,-0.147087889018277,0.0736970633000907,53,"Ang et al. (2015)_S1","Far","Subtraction Fluency Task","Non-random","Active",-0.0173044575315619,"children","81.73 months","81.73 months","children with poor WM"
"20",1,20,0.100942668934111,0.0735890875955217,53,"Ang et al. (2015)_S1","Far","Subtraction Fluency Task","Non-random","Active",-0.0173044575315619,"children","81.73 months","81.73 months","children with poor WM"
"21",1,21,0.0388046982222834,0.0760806708466771,51,"Ang et al. (2015)_S2","Near","Animal Updating Task","Non-random","Non-Active",0.0839264403412177,"children","81.73 months","81.73 months","children with poor WM"
"22",1,22,-0.163340706470542,0.0763274785112474,51,"Ang et al. (2015)_S2","Near","Animal Updating Task","Non-random","Non-Active",0.0839264403412177,"children","81.73 months","81.73 months","children with poor WM"
"23",1,23,-0.0540419956156253,0.0760945407749712,51,"Ang et al. (2015)_S2","Near","Letter Rotation Task","Non-random","Non-Active",0.230717750512862,"children","81.73 months","81.73 months","children with poor WM"
"24",1,24,-0.416746927728188,0.0777686335639983,51,"Ang et al. (2015)_S2","Near","Letter Rotation Task","Non-random","Non-Active",0.230717750512862,"children","81.73 months","81.73 months","children with poor WM"
"25",1,25,1.17720101097184,0.0896522043332359,51,"Ang et al. (2015)_S2","Near","Block Recall task","Non-random","Non-Active",0.0525145432403799,"children","81.73 months","81.73 months","children with poor WM"
"26",1,26,0.155355523752789,0.0763025290246808,51,"Ang et al. (2015)_S2","Near","Block Recall task","Non-random","Non-Active",0.0525145432403799,"children","81.73 months","81.73 months","children with poor WM"
"27",1,27,0.692925498724245,0.0807732192994038,51,"Ang et al. (2015)_S2","Near","Backward Letter Recall task","Non-random","Non-Active",-0.166652968047603,"children","81.73 months","81.73 months","children with poor WM"
"28",1,28,0.749938356214215,0.0815797074497865,51,"Ang et al. (2015)_S2","Near","Backward Letter Recall task","Non-random","Non-Active",-0.166652968047603,"children","81.73 months","81.73 months","children with poor WM"
"29",1,29,-0.206700452770112,0.0764847813620815,51,"Ang et al. (2015)_S2","Far","Numerical Operation task","Non-random","Non-Active",-0.017973952414792,"children","81.73 months","81.73 months","children with poor WM"
