"","study_id","es_id","yi","vi","title","year","file_drawer","prop_women","video_know","stim","proc","proc_aware","w_v_b"
"1",1,1,0.020456144,0.012660876,"An exploration of the relationship between emotional and cognitive control",2013,"yes",0.569620253,NA,"pictures","suppress-control","yes","within"
"2",2,2,0.178885438,0.0502,"Antecedent- and response-focused emotion regulation: Divergent consequences for experience, expression, and physiology.",1998,"no",1,"yes","film","suppress-control","yes","between"
"3",3,3,1.019004713,0.085108387,"Attention to emotion and non-western faces: Revisiting the facial feedback hypothesis.",2014,"no",0.566473988,"no","pictures","incidental-control","no","between"
"4",3,4,0.074213214,0.069458439,"Attention to emotion and non-western faces: Revisiting the facial feedback hypothesis.",2014,"no",0.566473988,"no","pictures","incidental-control","no","between"
"5",3,5,1.073745003,0.13084949,"Attention to emotion and non-western faces: Revisiting the facial feedback hypothesis.",2014,"no",0.566473988,"no","pictures","incidental-suppress",NA,"between"
"6",3,6,0.201825338,0.078860886,"Attention to emotion and non-western faces: Revisiting the facial feedback hypothesis.",2014,"no",0.566473988,"no","pictures","incidental-suppress",NA,"between"
"7",4,7,1.35388354,0.196916423,"Botulinum toxin cosmetic therapy correlates with a more positive mood.",2009,"no",1,"no",NA,"Botox-control",NA,"between"
"8",5,8,0.071428571,0.025019851,"Cardiovascular costs of emotion suppression cross ethnic lines",2008,"no",0.6,"no","film","suppress-control","yes","between"
"9",6,9,0.066519011,0.111172566,"Cardiovascular responses of embarrassment and effects of emotional suppression in a social setting.",2001,"no",0.583333333,"yes","social context","suppress-control","yes","between"
"10",7,10,0.124369597,0.025472885,"Can college students use emotion regulation strategies to alter intimate partner aggression-risk behaviors? An examination using I theory",2015,"yes",0.584745763,NA,"stories","suppress-control","yes","between"
"11",8,11,0.740518545,0.066784123,"Children's ability to control the facial expression of laughter and smiling: Knowledge and behaviour",2003,"no",0.515625,"no","social context","suppress-control","yes","between"
"12",9,12,-0.099330993,0.069050575,"Composure at Any Cost? The Cognitive Consequences of Emotion Suppression",1999,"no",1,NA,"pictures","suppress-control","yes","between"
"13",9,13,0.254535817,0.069524039,"Composure at Any Cost? The Cognitive Consequences of Emotion Suppression",1999,"no",1,NA,"pictures","suppress-control","yes","between"
"14",9,14,0.362213262,0.070096538,"Composure at Any Cost? The Cognitive Consequences of Emotion Suppression",1999,"no",1,NA,"pictures","suppress-control","yes","between"
"15",10,15,0.133407693,0.047222208,"Composure at Any Cost? The Cognitive Consequences of Emotion Suppression",1999,"no",1,NA,"pictures","suppress-control","yes","between"
"16",10,16,0.244738762,0.047469852,"Composure at Any Cost? The Cognitive Consequences of Emotion Suppression",1999,"no",1,NA,"pictures","suppress-control","yes","between"
"17",10,17,0.060086137,0.047138754,"Composure at Any Cost? The Cognitive Consequences of Emotion Suppression",1999,"no",1,NA,"pictures","suppress-control","yes","between"
"18",11,18,0.165822171,0.031679641,"Control of emotion",1989,"yes",0.4375,"no","film","exaggerate-control","yes","within"
"19",11,19,0.517458672,0.035433804,"Control of emotion",1989,"yes",0.4375,"no","film","exaggerate-control","yes","within"
"20",11,20,0.07509385,0.031338111,"Control of emotion",1989,"yes",0.4375,"no","film","exaggerate-control","yes","within"
"21",11,21,0.262705527,0.032328347,"Control of emotion",1989,"yes",0.4375,"no","film","exaggerate-control","yes","within"
"22",11,22,0.621106264,0.037277703,"Control of emotion",1989,"yes",0.4375,"no",NA,"exp.pose-exp.pose",NA,"within"
"23",11,23,0.743875957,0.039896116,"Control of emotion",1989,"yes",0.4375,"no",NA,"exp.pose-exp.pose",NA,"within"
"24",11,24,0.179312693,0.031752391,"Control of emotion",1989,"yes",0.4375,"no","film","suppress-control","yes","within"
"25",11,25,0.422266873,0.034036083,"Control of emotion",1989,"yes",0.4375,"no","film","suppress-control","yes","within"
"26",11,26,0.267558405,0.032368555,"Control of emotion",1989,"yes",0.4375,"no","film","suppress-control","yes","within"
"27",11,27,0.095758228,0.031393276,"Control of emotion",1989,"yes",0.4375,"no","film","suppress-control","yes","within"
"28",12,28,0.436440884,0.035330333,"Cross-modality consistencies in individual differences in self-attribution.",1977,"no",0.575,"yes",NA,"exp.pose-control","yes","within"
"29",12,29,0.384355346,0.034640791,"Cross-modality consistencies in individual differences in self-attribution.",1977,"no",0.575,"yes",NA,"exp.pose-control","yes","within"
"30",12,30,0.508283005,0.036425026,"Cross-modality consistencies in individual differences in self-attribution.",1977,"no",0.575,"yes",NA,"exp.pose-control","yes","within"
"31",13,31,0.170762994,0.1003645,"Culturally Situated Cognition: The Influence of Communication Practices, Physical Environments, and Intra-Individual Motor Actions; Chapter 4 Culture and bodily posture: When are bodily expressions informative to East Asians and to Americans?",2006,"yes",0.24691358,"no","pictures","incidental-suppress",NA,"between"
"32",13,32,0.528100369,0.103486125,"Culturally Situated Cognition: The Influence of Communication Practices, Physical Environments, and Intra-Individual Motor Actions; Chapter 4 Culture and bodily posture: When are bodily expressions informative to East Asians and to Americans?",2006,"yes",0.24691358,"no","pictures","incidental-suppress",NA,"between"
"33",14,33,0.488836413,0.053499747,"Culturally Situated Cognition: The Influence of Communication Practices, Physical Environments, and Intra-Individual Motor Actions; Chapter 4 Culture and bodily posture: When are bodily expressions informative to East Asians and to Americans?",2006,"yes",0.6,"no","pictures","incidental-suppress",NA,"between"
"34",15,34,1.255424231,0.1788045,"Deeper than skin deep - The effect of botulinum toxin-A on emotion processing.",2016,"no",1,"no","sentences","Botox-control",NA,"within"
"35",15,35,0.626130977,0.119602,"Deeper than skin deep - The effect of botulinum toxin-A on emotion processing.",2016,"no",1,"no","sentences","Botox-control",NA,"within"
"36",16,36,-0.359904038,0.035492182,"DEFENSIVE STYLE: MANIPULATION OF FACIAL EXPRESSIVENESS AND ITS IMPACT ON PSYCHOPHYSIOLOGICAL REACTIVITY AND SELF-REPORTED ANXIETY (REPRESSION-SENSITIZATION)",1985,"yes",0,"yes","film","exaggerate-control","yes","within"
"37",16,37,-0.209406545,0.034064185,"DEFENSIVE STYLE: MANIPULATION OF FACIAL EXPRESSIVENESS AND ITS IMPACT ON PSYCHOPHYSIOLOGICAL REACTIVITY AND SELF-REPORTED ANXIETY (REPRESSION-SENSITIZATION)",1985,"yes",0,"yes","film","suppress-control","yes","within"
"38",17,38,-0.173095875,0.122676195,"Duchenne smile, emotional experience, and autonomic reactivity: a test of the facial feedback hypothesis.",2002,"no",1,"yes","film","incidental-suppress",NA,"between"
"39",17,39,0.477632212,0.125678776,"Duchenne smile, emotional experience, and autonomic reactivity: a test of the facial feedback hypothesis.",2002,"no",1,"yes","film","incidental-suppress",NA,"between"
"40",17,40,0.466504443,0.125519592,"Duchenne smile, emotional experience, and autonomic reactivity: a test of the facial feedback hypothesis.",2002,"no",1,"yes","film","incidental-suppress",NA,"between"
"41",17,41,0.43939177,0.125147451,"Duchenne smile, emotional experience, and autonomic reactivity: a test of the facial feedback hypothesis.",2002,"no",1,"yes","film","incidental-suppress",NA,"between"
"42",17,42,0.525708023,0.129808461,"Duchenne smile, emotional experience, and autonomic reactivity: a test of the facial feedback hypothesis.",2002,"no",1,"yes","film","incidental-suppress",NA,"between"
"43",17,43,1.103236069,0.14450785,"Duchenne smile, emotional experience, and autonomic reactivity: a test of the facial feedback hypothesis.",2002,"no",1,"yes","film","incidental-suppress",NA,"between"
"44",17,44,1.112787896,0.144838585,"Duchenne smile, emotional experience, and autonomic reactivity: a test of the facial feedback hypothesis.",2002,"no",1,"yes","film","incidental-suppress",NA,"between"
"45",17,45,0.942376135,0.139366333,"Duchenne smile, emotional experience, and autonomic reactivity: a test of the facial feedback hypothesis.",2002,"no",1,"yes","film","incidental-suppress",NA,"between"
"46",18,46,0.180838886,0.12551098,"Effective regulation of the experience and expression of negative affect in old age.",2008,"no",0.547,"yes","film","suppress-control","yes","between"
"47",18,47,0.075,0.125087891,"Effective regulation of the experience and expression of negative affect in old age.",2008,"no",0.547,"yes","film","suppress-control","yes","between"
"48",21,48,-0.045089093,0.038500635,"Emotion dysregulation and schizotypy",2009,"no",0.666666667,"yes","film","exaggerate-control","yes","within"
"49",21,49,0.526201925,0.043786317,"Emotion dysregulation and schizotypy",2009,"no",0.666666667,"yes","film","suppress-control","yes","within"
"50",22,50,-0.492736402,0.037379819,"Emotion dysregulation in schizophrenia: Reduced amplification of emotional expression is associated with emotional blunting",2007,"no",0.533333333,"yes","film","exaggerate-control","yes","within"
"51",22,51,0.247114537,0.034351093,"Emotion dysregulation in schizophrenia: Reduced amplification of emotional expression is associated with emotional blunting",2007,"no",0.533333333,"yes","film","suppress-control","yes","within"
"52",23,52,-0.053837081,0.050072461,"Emotion experience, expression, and regulation in Alzheimer's disease.",2009,"no",0.65,"yes","film","exaggerate-control","yes","within"
"53",23,53,0.482398813,0.055817715,"Emotion experience, expression, and regulation in Alzheimer's disease.",2009,"no",0.65,"yes","film","suppress-control","yes","within"
"54",24,54,-0.116741473,0.075842857,"Emotion regulation and memory: The cognitive costs of keeping one's cool",2000,"no",0.55,"no","film","suppress-control","yes","between"
"55",25,55,-0.87235187,0.187735667,"The effects of expressive and experiential suppression on memory accuracy and memory distortion in women with and without PTSD",2012,"no",NA,"no","film","suppress-control","yes","between"
"56",26,56,0.189016681,0.068275124,"Emotion Regulation in Romantic Relationships: The Cognitive Consequences of Concealing Feelings",2003,"no",0.5,"no","social context","suppress-control","yes","between"
"57",26,57,-0.121600504,0.068097661,"Emotion Regulation in Romantic Relationships: The Cognitive Consequences of Concealing Feelings",2003,"no",0.5,"no","social context","suppress-control","yes","between"
"58",27,58,0.157187359,0.125343165,"Emotion regulation, disgust sensitivity, and psychophysiological responses to a disgust-inducing film",2009,"no",0,NA,"film","suppress-control","yes","between"
"59",27,59,0.127256987,0.125224921,"Emotion regulation, disgust sensitivity, and psychophysiological responses to a disgust-inducing film",2009,"no",0,NA,"film","suppress-control","yes","between"
"60",28,60,-0.223466156,0.035948611,"Emotional empathy and facial feedback.",2008,"no",0.517857143,"no","film","incidental-suppress",NA,"between"
"61",29,61,1.196751854,0.028601792,"Emotional expression and feeling in schizophrenia: effects of specific expressive behaviors on emotional experiences.",1999,"no",0.733333333,"yes",NA,"exp.pose-exp.pose",NA,"within"
"62",29,62,0.703591975,0.020792014,"Emotional expression and feeling in schizophrenia: effects of specific expressive behaviors on emotional experiences.",1999,"no",0.733333333,"yes",NA,"exp.pose-exp.pose",NA,"within"
"63",29,63,0.309838668,0.017466667,"Emotional expression and feeling in schizophrenia: effects of specific expressive behaviors on emotional experiences.",1999,"no",0.733333333,"yes",NA,"exp.pose-exp.pose",NA,"within"
"64",29,64,0.857220314,0.022790222,"Emotional expression and feeling in schizophrenia: effects of specific expressive behaviors on emotional experiences.",1999,"no",0.733333333,"yes",NA,"exp.pose-exp.pose",NA,"within"
"65",29,65,1.314232349,0.031060056,"Emotional expression and feeling in schizophrenia: effects of specific expressive behaviors on emotional experiences.",1999,"no",0.733333333,"yes",NA,"exp.pose-exp.pose",NA,"within"
"66",30,66,0.391817164,0.037129667,"Emotional expression and feeling in schizophrenia: effects of specific expressive behaviors on emotional experiences.",1999,"no",0,"yes",NA,"exp.pose-exp.pose",NA,"within"
"67",30,67,0.230262219,0.035396908,"Emotional expression and feeling in schizophrenia: effects of specific expressive behaviors on emotional experiences.",1999,"no",0,"yes",NA,"exp.pose-exp.pose",NA,"within"
